july, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, pot-severe, none, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
october, normal, gt-norm, gt-norm, yes, same-lst-yr, scattered, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
september, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, severe, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, absent, tan, present, firm-and-dry, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
july, normal, gt-norm, lt-norm, yes, same-lst-sev-yrs, whole-field, minor, none, lt-80%, norm, norm, absent, dna, dna, absent, absent, absent, norm, yes, absent, tan, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm, purple-seed-stain.
september, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, low-areas, minor, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
september, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, whole-field, minor, fungicide, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
september, normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, other, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, present, firm-and-dry, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, norm, absent, norm, anthracnose.
july, normal, norm, norm, yes, same-lst-sev-yrs, upper-areas, minor, none, 90-100%, norm, abnorm, yellow-halos, w-s-marg, lt-1/8, present, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-blight.
july, lt-normal, norm, norm, yes, diff-lst-year, scattered, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot.
june, lt-normal, gt-norm, gt-norm, ?, same-lst-sev-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
august, lt-normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, fungicide, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
august, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, whole-field, pot-severe, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
may, normal, gt-norm, norm, yes, same-lst-yr, whole-field, pot-severe, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
july, lt-normal, gt-norm, lt-norm, yes, same-lst-two-yrs, low-areas, severe, fungicide, 80-89%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot.
october, normal, norm, lt-norm, no, diff-lst-year, scattered, minor, fungicide, lt-80%, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, powdery-mildew.
june, lt-normal, gt-norm, lt-norm, yes, same-lst-yr, low-areas, severe, none, lt-80%, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, rhizoctonia-root-rot.
august, normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
september, normal, lt-norm, gt-norm, yes, same-lst-two-yrs, whole-field, pot-severe, none, lt-80%, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, dna, absent, absent, absent, brown, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-stem-rot.
may, lt-normal, gt-norm, norm, no, same-lst-two-yrs, whole-field, pot-severe, fungicide, 80-89%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot.
june, normal, gt-norm, norm, yes, same-lst-sev-yrs, upper-areas, pot-severe, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
july, normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, fungicide, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
august, lt-normal, gt-norm, gt-norm, yes, diff-lst-year, scattered, minor, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm, alternarialeaf-spot.
august, lt-normal, norm, gt-norm, yes, same-lst-yr, low-areas, minor, other, lt-80%, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
september, normal, gt-norm, norm, yes, same-lst-two-yrs, low-areas, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
october, ?, gt-norm, gt-norm, ?, same-lst-yr, whole-field, ?, ?, ?, norm, norm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dna, present, absent, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, lt-norm, present, ?, diaporthe-pod-&-stem-blight.
september, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, low-areas, minor, fungicide, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
may, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, pot-severe, other, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
may, lt-normal, gt-norm, lt-norm, yes, same-lst-yr, low-areas, severe, none, lt-80%, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, rhizoctonia-root-rot.
september, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, severe, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, absent, tan, present, firm-and-dry, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
july, normal, norm, norm, yes, same-lst-yr, upper-areas, minor, none, 90-100%, norm, abnorm, yellow-halos, w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-blight.
october, lt-normal, gt-norm, gt-norm, yes, same-lst-yr, low-areas, minor, fungicide, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
august, normal, gt-norm, norm, no, same-lst-yr, scattered, pot-severe, none, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, norm, dna, norm, absent, absent, norm, absent, norm, diaporthe-stem-canker.
october, normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, none, 90-100%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, no, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, norm, dna, norm, absent, absent, norm, absent, norm, diaporthe-stem-canker.
september, lt-normal, lt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, none, 80-89%, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, powdery-mildew.
september, lt-normal, lt-norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, none, 80-89%, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, powdery-mildew.
july, normal, norm, norm, yes, same-lst-two-yrs, scattered, minor, none, 90-100%, abnorm, abnorm, yellow-halos, w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-blight.
september, normal, gt-norm, gt-norm, yes, same-lst-yr, low-areas, minor, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
june, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, pot-severe, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
august, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, upper-areas, pot-severe, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
september, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, none, 80-89%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, dna, present, firm-and-dry, absent, none, absent, norm, dna, norm, absent, absent, norm, absent, norm, diaporthe-stem-canker.
may, lt-normal, gt-norm, gt-norm, ?, same-lst-sev-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dk-brown-blk, ?, watery, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
september, normal, lt-norm, gt-norm, no, same-lst-two-yrs, upper-areas, pot-severe, none, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot.
september, lt-normal, norm, lt-norm, yes, same-lst-sev-yrs, whole-field, pot-severe, fungicide, lt-80%, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, no, absent, tan, absent, absent, absent, brown, absent, norm, dna, norm, absent, absent, norm, absent, norm, brown-stem-rot.
may, lt-normal, gt-norm, gt-norm, no, same-lst-sev-yrs, whole-field, pot-severe, fungicide, 80-89%, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
june, lt-normal, norm, gt-norm, yes, same-lst-two-yrs, upper-areas, minor, none, lt-80%, norm, abnorm, yellow-halos, no-w-s-marg, lt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, galls-cysts, bacterial-pustule.
october, normal, norm, gt-norm, yes, same-lst-sev-yrs, whole-field, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, present, firm-and-dry, absent, none, absent, diseased, brown-w/blk-specks, abnorm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
april, normal, gt-norm, norm, yes, diff-lst-year, scattered, minor, none, 90-100%, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, brown, absent, firm-and-dry, absent, none, absent, norm, absent, abnorm, absent, present, lt-norm, present, norm, anthracnose.
september, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, minor, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
september, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, none, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
april, ?, ?, ?, ?, ?, scattered, ?, ?, ?, ?, abnorm, absent, dna, dna, ?, present, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 2-4-d-injury.
may, lt-normal, gt-norm, lt-norm, yes, same-lst-sev-yrs, low-areas, pot-severe, fungicide, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot.
may, lt-normal, gt-norm, norm, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, below-soil, dk-brown-blk, ?, watery, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
september, normal, gt-norm, gt-norm, ?, same-lst-sev-yrs, whole-field, ?, ?, 90-100%, norm, norm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dna, present, absent, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, lt-norm, present, ?, diaporthe-pod-&-stem-blight.
july, lt-normal, norm, norm, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
may, lt-normal, gt-norm, norm, yes, diff-lst-year, low-areas, severe, fungicide, 80-89%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot.
august, lt-normal, norm, lt-norm, yes, diff-lst-year, scattered, minor, other, 90-100%, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, powdery-mildew.
september, lt-normal, gt-norm, gt-norm, no, same-lst-two-yrs, upper-areas, minor, fungicide, lt-80%, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, norm, present, norm, anthracnose.
september, normal, lt-norm, gt-norm, yes, same-lst-two-yrs, whole-field, pot-severe, fungicide, 80-89%, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, dna, absent, absent, absent, brown, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-stem-rot.
october, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, upper-areas, minor, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
august, lt-normal, norm, norm, no, same-lst-two-yrs, upper-areas, minor, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, colored, norm, absent, absent, norm, absent, norm, brown-spot.
july, normal, lt-norm, norm, yes, same-lst-yr, upper-areas, pot-severe, none, 90-100%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot.
july, lt-normal, norm, gt-norm, yes, same-lst-yr, scattered, minor, none, 90-100%, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot.
august, lt-normal, norm, norm, ?, same-lst-sev-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
september, normal, lt-norm, gt-norm, yes, same-lst-two-yrs, scattered, pot-severe, fungicide, 90-100%, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, dna, absent, absent, absent, brown, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-stem-rot.
august, lt-normal, gt-norm, gt-norm, yes, same-lst-two-yrs, upper-areas, pot-severe, none, 80-89%, norm, abnorm, yellow-halos, w-s-marg, gt-1/8, absent, present, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew.
april, lt-normal, gt-norm, lt-norm, yes, diff-lst-year, low-areas, pot-severe, fungicide, lt-80%, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, rhizoctonia-root-rot.
september, lt-normal, norm, gt-norm, no, same-lst-two-yrs, upper-areas, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm, alternarialeaf-spot.
july, normal, gt-norm, norm, yes, same-lst-two-yrs, low-areas, pot-severe, fungicide, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
july, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, low-areas, pot-severe, fungicide, lt-80%, norm, abnorm, yellow-halos, w-s-marg, gt-1/8, absent, absent, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew.
october, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, upper-areas, minor, none, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
september, ?, gt-norm, gt-norm, ?, same-lst-yr, whole-field, ?, ?, ?, norm, norm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dna, present, absent, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, lt-norm, present, ?, diaporthe-pod-&-stem-blight.
june, lt-normal, norm, gt-norm, yes, same-lst-sev-yrs, whole-field, minor, other, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot.
august, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, none, lt-80%, norm, abnorm, yellow-halos, w-s-marg, lt-1/8, present, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, lt-norm, absent, rotted, bacterial-pustule.
august, lt-normal, norm, gt-norm, yes, same-lst-yr, upper-areas, minor, fungicide, 80-89%, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot.
october, normal, gt-norm, norm, yes, same-lst-yr, upper-areas, minor, none, 90-100%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
may, lt-normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, pot-severe, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
september, normal, gt-norm, norm, yes, same-lst-two-yrs, scattered, minor, none, 80-89%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot.
september, normal, lt-norm, gt-norm, no, same-lst-sev-yrs, whole-field, pot-severe, fungicide, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot.
july, lt-normal, gt-norm, gt-norm, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
may, normal, norm, norm, yes, same-lst-sev-yrs, upper-areas, minor, none, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot.
june, lt-normal, gt-norm, norm, no, same-lst-sev-yrs, low-areas, severe, fungicide, lt-80%, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot.
october, lt-normal, norm, gt-norm, no, same-lst-yr, low-areas, minor, other, lt-80%, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot.
july, lt-normal, gt-norm, norm, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-soil, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot.
